Region,RN,Latitude,Longitude
Arctic Region,0,60,-57.1333333333333
Arctic Region,1,60,-30
Arctic Region,2,89,-60.4451755555556
Arctic Region,3,89,-141.016666666667
Arctic Region,4,71.2387938888889,-140.991598888889
Arctic Region,5,70.4980408333333,-140.996518888889
Arctic Region,6,66.3311827777778,-140.997105833333
Arctic Region,7,65,-140.999998888889
Arctic Region,8,60.3043663888889,-140.979930555556
Arctic Region,9,60.1648327777778,-139.991314444444
Arctic Region,10,60.3091133333333,-139.085278055556
Arctic Region,11,60.0861902777778,-139.218591666667
Arctic Region,12,59.9977519444445,-139.080086666667
Arctic Region,13,60.0031438888889,-119.99423
Arctic Region,14,59.9999319444444,-101.999841666667
Arctic Region,15,49.3333330555556,-92.5
Arctic Region,16,49.3333330555556,-81.1562275
Arctic Region,17,53.2296458333333,-69.8124558333333
Arctic Region,18,55.07,-68.36
Arctic Region,19,56.048,-64.5
Arctic Region,20,60,-64.5
Arctic Region,21,60,-63.0333333333333
Arctic Region,22,60,-61.9166666666667
Arctic Region,23,60,-60.2
Arctic Region,24,60,-58.5
Central Region,1,41.45140389,-83.87653
Central Region,2,41.20644361,-81.54589639
Central Region,3,42,-79.7
Central Region,4,42.55,-80.05
Central Region,5,42.59647222,-80.50072
Central Region,6,42.93502583,-81.25161972
Central Region,7,45,-79.5
Central Region,8,49.33333333,-81.1562275
Central Region,9,49.33333333,-92.5
Central Region,10,41.5,-92.5
Maritimes Region,0,47.8333330555556,-65.4166666666667
Maritimes Region,1,48.2205555555556,-64.4227777777778
Maritimes Region,2,48.2205555555556,-63.7925
Maritimes Region,3,47.6058330555556,-63.2655555555556
Maritimes Region,4,47.1397219444445,-62.8872219444444
Maritimes Region,5,46.84,-62.3008330555556
Maritimes Region,6,46.84,-61.4002777777778
Maritimes Region,7,47.0097219444445,-61.3513888888889
Maritimes Region,8,47.3294441666667,-60.9927777777778
Maritimes Region,9,47.4233330555556,-60.7636108333333
Maritimes Region,10,47.7611108333333,-60.4047219444445
Maritimes Region,11,47.4586708333333,-59.6218466666667
Maritimes Region,12,43.1053091666667,-55.2277894444444
Maritimes Region,13,41.8,-56.25
Maritimes Region,14,40.6666666666667,-59
Maritimes Region,15,41.05,-62.25
Maritimes Region,16,40.4666666666667,-65.6833330555556
Maritimes Region,17,42.9,-67.7166666666667
Maritimes Region,18,44.1666666666667,-67.2666666666667
Maritimes Region,19,45.1586091666667,-67.3650908333333
Maritimes Region,20,47.9969758333333,-66.8037433333333
Maritimes Region,21,48.1113338888889,-66.4959491666667
Maritimes Region,22,48.0583330555556,-66.1583330555556
Maritimes Region,23,48,-65.75
Newfoundland Region,0,60,-64.5
Newfoundland Region,1,60,-63.0333333333333
Newfoundland Region,2,60,-61.9166666666667
Newfoundland Region,3,60,-60.2
Newfoundland Region,4,60,-58.5
Newfoundland Region,5,60,-57.1333333333333
Newfoundland Region,6,52.3333330555556,-49.8833330555556
Newfoundland Region,7,51.2833330555556,-48.55
Newfoundland Region,8,49.2,-46.4166666666667
Newfoundland Region,9,48.8333333333333,-46.0833333333333
Newfoundland Region,10,47,-44.1666666666667
Newfoundland Region,11,46,-45.5833333333333
Newfoundland Region,12,45.5,-46.25
Newfoundland Region,13,43.4166666666667,-49.1666666666667
Newfoundland Region,14,43,-49.75
Newfoundland Region,15,43,-50.4166666666667
Newfoundland Region,16,43.1053091666667,-55.2277894444444
Newfoundland Region,17,47.4586708333333,-59.6218466666667
Newfoundland Region,18,47.7611108333333,-60.4047219444444
Newfoundland Region,19,47.8333330555556,-60
Newfoundland Region,20,49.5,-60
Newfoundland Region,21,50.9986108333333,-57.7372219444445
Newfoundland Region,22,51.2,-57.1216666666667
Newfoundland Region,23,51.2212380555556,-57.1203741666667
Newfoundland Region,24,51.3039416666667,-57.1151911111111
Newfoundland Region,25,51.415,-57.1507219444444
Newfoundland Region,26,51.784795,-57.1083330555556
Newfoundland Region,27,50.6070188888889,-66
Newfoundland Region,28,50.0483425,-67.4508205555556
Newfoundland Region,29,53.2296458333333,-69.8124558333333
Newfoundland Region,30,55.07,-68.36
Newfoundland Region,31,56.048,-64.5
Pacific Region,0,56,-139
Pacific Region,1,53.4730527777778,-138.758622222222
Pacific Region,2,50,-136
Pacific Region,3,46,-129
Pacific Region,4,46,-124
Pacific Region,5,47.267125,-122.006238888889
Pacific Region,6,48.9591694444444,-122.016616666667
Pacific Region,7,50.4324083333333,-123.545880555556
Pacific Region,8,51.3729166666667,-124.922427777778
Pacific Region,9,54.6848333333333,-127.502413888889
Pacific Region,10,56,-129.867038888889
Quebec Region,0,47.8333330555556,-65.4166666666667
Quebec Region,1,48.2205555555556,-64.4227777777778
Quebec Region,2,48.2205555555556,-63.7925
Quebec Region,3,47.6058330555556,-63.2655555555556
Quebec Region,4,47.1397219444445,-62.8872219444444
Quebec Region,5,46.84,-62.3008330555556
Quebec Region,6,46.84,-61.4002777777778
Quebec Region,7,47.0097219444445,-61.3513888888889
Quebec Region,8,47.3294441666667,-60.9927777777778
Quebec Region,9,47.4233330555556,-60.7636108333333
Quebec Region,10,47.7611108333333,-60.4047219444445
Quebec Region,11,47.8333330555556,-60
Quebec Region,12,49.5,-60
Quebec Region,13,50.9986108333334,-57.7372219444445
Quebec Region,14,51.2,-57.1216666666667
Quebec Region,15,51.2212380555556,-57.1203741666667
Quebec Region,16,51.3039416666667,-57.1151911111111
Quebec Region,17,51.415,-57.1507219444444
Quebec Region,18,51.784795,-57.1083330555556
Quebec Region,19,50.6070188888889,-66
Quebec Region,20,50.0483425,-67.4508205555555
Quebec Region,21,50.9069469444444,-68.0889708333333
Quebec Region,22,48.7309505555556,-71.0679916666667
Quebec Region,23,48.2872841666667,-71.0661605555556
Quebec Region,24,48.0021541666667,-69.7637525
Quebec Region,25,46.8857452777778,-71.5393266666667
Quebec Region,26,46.4435383333333,-72.9760616666667
Quebec Region,27,46.3550838888889,-73.048135
Quebec Region,28,46.2944627777778,-73.0975238888889
Quebec Region,29,45.7683405555555,-73.52617
Quebec Region,30,45.7488480555556,-73.4787616666667
Quebec Region,31,45.5391891666667,-73.5542330555555
Quebec Region,32,45.4897183333333,-73.5542330555555
Quebec Region,33,45.4787922222222,-73.5470961111111
Quebec Region,34,45.4863575,-73.5200922222222
Quebec Region,35,45.4972219444444,-73.52
Quebec Region,36,45.4972216666667,-73.5184713888889
Quebec Region,37,45.50395,-73.521135
Quebec Region,38,45.5267294444444,-73.5272961111111
Quebec Region,39,45.5268755555556,-73.5268313888889
Quebec Region,40,45.5041394444444,-73.5206352777778
Quebec Region,41,45.4972216666667,-73.5181091666667
Quebec Region,42,45.4911716666667,-73.5163272222222
Quebec Region,43,45.4866172222222,-73.5151122222222
Quebec Region,44,45.4681116666667,-73.503955
Quebec Region,45,45.4647580555556,-73.5026791666667
Quebec Region,46,45.4358855555556,-73.5011444444444
Quebec Region,47,45.4345113888889,-73.5004847222222
Quebec Region,48,45.4266436111111,-73.5022991666667
Quebec Region,49,45.4229172222222,-73.5047088888889
Quebec Region,50,45.4196380555555,-73.5073291666667
Quebec Region,51,45.4167166666667,-73.5107505555556
Quebec Region,52,45.4136055555556,-73.5153211111111
Quebec Region,53,45.4115636111111,-73.5194283333333
Quebec Region,54,45.4100416666667,-73.5245519444444
Quebec Region,55,45.4082813888889,-73.5323033333333
Quebec Region,56,45.4079952777778,-73.5349447222222
Quebec Region,57,45.4076033333333,-73.5554405555555
Quebec Region,58,45.4072186111111,-73.5550102777778
Quebec Region,59,45.4078358333333,-73.5322983333333
Quebec Region,60,45.4099427777778,-73.5233908333333
Quebec Region,61,45.4112016666667,-73.5192458333333
Quebec Region,62,45.4129975,-73.5156663888889
Quebec Region,63,45.4166311111111,-73.5102797222222
Quebec Region,64,45.4195822222222,-73.5067286111111
Quebec Region,65,45.4224847222222,-73.5046452777778
Quebec Region,66,45.4265583333333,-73.5019758333333
Quebec Region,67,45.4334013888889,-73.4999886111111
Quebec Region,68,45.4640666666667,-73.5017277777778
Quebec Region,69,45.4687347222222,-73.5036136111111
Quebec Region,70,45.4865383333333,-73.5148055555556
Quebec Region,71,45.4922886111111,-73.5161586111111
Quebec Region,72,45.4972186111111,-73.5167525
Quebec Region,73,45.4981213888889,-73.5174155555555
Quebec Region,74,45.5209180555556,-73.5001080555556
Quebec Region,75,45.6015841666667,-73.4387430555556
Quebec Region,76,45.72491,-73.4205902777778
Quebec Region,77,45.637635,-73.2085669444445
Quebec Region,78,45.8633005555555,-72.5798775
Quebec Region,79,46.3929625,-71.2901188888889
Quebec Region,80,46.9474563888889,-70.3309333333333
Quebec Region,81,47.7875808333333,-69.4760977777778
Quebec Region,82,48.5378330555555,-67.7330813888889
Quebec Region,83,48.8273977777778,-66
Quebec Region,84,47.9969758333333,-66.8037433333333
Quebec Region,85,48.1113338888889,-66.4959491666667
Quebec Region,86,48.0583330555556,-66.1583330555556
Quebec Region,87,48,-65.75
St. Lawrence Seaway Region,0,45.4897183333333,-73.5542330555555
St. Lawrence Seaway Region,1,45.4788466666667,-73.5471472222222
St. Lawrence Seaway Region,2,45.4863,-73.5201013888889
St. Lawrence Seaway Region,3,45.4972227777778,-73.5200058333333
St. Lawrence Seaway Region,4,45.4972227777778,-73.5184713888889
St. Lawrence Seaway Region,5,45.5039638888889,-73.5211358333333
St. Lawrence Seaway Region,6,45.5267302777778,-73.5272936111111
St. Lawrence Seaway Region,7,45.5267866666667,-73.5271044444444
St. Lawrence Seaway Region,8,45.5039269444444,-73.5208683333333
St. Lawrence Seaway Region,9,45.4972222222222,-73.5183019444444
St. Lawrence Seaway Region,10,45.4919580555556,-73.5166786111111
St. Lawrence Seaway Region,11,45.4864797222222,-73.5152038888889
St. Lawrence Seaway Region,12,45.4681808333333,-73.5041436111111
St. Lawrence Seaway Region,13,45.4648013888889,-73.5029497222222
St. Lawrence Seaway Region,14,45.4357897222222,-73.5013086111111
St. Lawrence Seaway Region,15,45.4344630555555,-73.5007105555556
St. Lawrence Seaway Region,16,45.4267091666667,-73.5024277777778
St. Lawrence Seaway Region,17,45.4231388888889,-73.5046225
St. Lawrence Seaway Region,18,45.4196558333333,-73.5074294444444
St. Lawrence Seaway Region,19,45.4169602777778,-73.5106102777778
St. Lawrence Seaway Region,20,45.4136444444444,-73.5154291666667
St. Lawrence Seaway Region,21,45.4117358333333,-73.5192141666667
St. Lawrence Seaway Region,22,45.4104636111111,-73.5233013888889
St. Lawrence Seaway Region,23,45.4083244444445,-73.5322633333333
St. Lawrence Seaway Region,24,45.4079905555556,-73.5349669444444
St. Lawrence Seaway Region,25,45.4076033333333,-73.5554444444444
St. Lawrence Seaway Region,26,45.4072208333333,-73.5550130555555
St. Lawrence Seaway Region,27,45.4077519444444,-73.5349588888889
St. Lawrence Seaway Region,28,45.4078313888889,-73.5322711111111
St. Lawrence Seaway Region,29,45.409915,-73.5234286111111
St. Lawrence Seaway Region,30,45.4111872222222,-73.5192538888889
St. Lawrence Seaway Region,31,45.4130002777778,-73.5156038888889
St. Lawrence Seaway Region,32,45.4166263888889,-73.5102602777778
St. Lawrence Seaway Region,33,45.4195844444445,-73.5066819444444
St. Lawrence Seaway Region,34,45.4226380555556,-73.5045508333333
St. Lawrence Seaway Region,35,45.4265344444444,-73.5019505555556
St. Lawrence Seaway Region,36,45.4333886111111,-73.4999816666667
St. Lawrence Seaway Region,37,45.4640488888889,-73.5017122222222
St. Lawrence Seaway Region,38,45.4687452777778,-73.5036152777778
St. Lawrence Seaway Region,39,45.4865769444444,-73.5147986111111
St. Lawrence Seaway Region,40,45.4922983333333,-73.51616
St. Lawrence Seaway Region,41,45.4972158333333,-73.5167555555555
St. Lawrence Seaway Region,42,45.4972219444444,-73.5116666666667
St. Lawrence Seaway Region,43,45.4112877777778,-73.225005
St. Lawrence Seaway Region,44,43.233025,-75.6441327777778
St. Lawrence Seaway Region,45,42,-79.7
St. Lawrence Seaway Region,46,42.55,-80.05
St. Lawrence Seaway Region,47,42.5964719444445,-80.50072
St. Lawrence Seaway Region,48,42.9350255555555,-81.2516194444444
St. Lawrence Seaway Region,49,45,-79.5
